Amount Requested,Application Date,Loan Title,Risk_Score,Debt-To-Income Ratio,Zip Code,State,Employment Length,loan_officer_id
4000,2016-07-01,major_purchase,500,4.21,750xx,TX,5 years,1
20000,2016-07-01,debt_consolidation,501,0.39,930xx,CA,< 1 year,2
1000,2016-07-01,renewable_energy,502,42.38,923xx,CA,5 years,3
15000,2016-07-01,home_improvement,503,5.98,910xx,CA,5 years,4
8500,2016-07-01,debt_consolidation,504,29.14,210xx,MD,< 1 year,1
5000,2016-07-01,Debt consolidation,505,26.12,287xx,NC,n/a,2
20000,2016-07-01,debt_consolidation,506,32.43,919xx,CA,5 years,3
5000,2016-07-01,debt_consolidation,507,20.8,405xx,KY,5 years,4
25000,2016-07-01,car,508,21.39,857xx,AZ,< 1 year,1
1500,2016-07-01,other,509,17.93,494xx,MI,5 years,2
2000,2016-07-01,major_purchase,510,8.75,347xx,FL,< 1 year,3
7000,2016-07-01,credit_card,511,7.15,245xx,VA,< 1 year,4
3500,2016-07-01,debt_consolidation,512,201.4,282xx,NC,< 1 year,1
1000,2016-07-01,debt_consolidation,513,2.18,761xx,TX,5 years,2
15000,2016-07-01,debt_consolidation,514,0,152xx,PA,n/a,3
40000,2016-07-01,small_business,515,25.1,775xx,TX,< 1 year,4
10000,2016-07-01,debt_consolidation,516,1.96,913xx,CA,< 1 year,1
10000,2016-07-01,debt_consolidation,517,2.64,060xx,CT,< 1 year,2
1000,2016-07-01,medical,518,5.23,900xx,CA,< 1 year,3
25000,2016-07-01,debt_consolidation,519,63.13,142xx,NY,< 1 year,4
35000,2016-07-01,debt_consolidation,520,40.65,906xx,CA,< 1 year,1
1000,2016-07-01,major_purchase,521,-1,946xx,CA,5 years,2
2000,2016-07-01,car,522,0,300xx,GA,5 years,3
30000,2016-07-01,moving,523,29.76,630xx,MO,< 1 year,4
6000,2016-07-01,debt_consolidation,524,17.02,750xx,TX,< 1 year,1
15000,2016-07-01,debt_consolidation,525,35.91,925xx,CA,< 1 year,2
1500,2016-07-01,major_purchase,526,-1,442xx,OH,5 years,3
10000,2016-07-01,other,527,0,281xx,NC,< 1 year,4
17000,2016-07-01,debt_consolidation,528,16.97,812xx,CO,< 1 year,1
16000,2016-07-01,debt_consolidation,529,8.79,834xx,ID,5 years,2
20000,2016-07-01,credit_card,530,38.2,300xx,GA,5 years,3
2000,2016-07-01,credit_card,531,34.19,104xx,NY,< 1 year,4
27000,2016-07-01,debt_consolidation,532,43.12,903xx,CA,< 1 year,1
5000,2016-07-01,credit_card,533,9.84,902xx,CA,5 years,2
5000,2016-07-01,other,534,0,549xx,WI,< 1 year,3
3000,2016-07-01,medical,535,17.58,770xx,TX,< 1 year,4
8000,2016-07-01,debt_consolidation,536,16.48,928xx,CA,< 1 year,1
3000,2016-07-01,moving,537,0.57,341xx,FL,< 1 year,2
15000,2016-07-01,debt_consolidation,538,34.79,940xx,CA,< 1 year,3
10000,2016-07-01,medical,539,108.7,783xx,TX,< 1 year,4
8000,2016-07-01,house,540,16.17,537xx,WI,< 1 year,1
10000,2016-07-01,debt_consolidation,541,53.41,770xx,TX,< 1 year,2
5500,2016-07-01,car,542,2,922xx,CA,5 years,3
3000,2016-07-01,debt_consolidation,543,0,973xx,OR,< 1 year,4
3000,2016-07-01,home_improvement,544,27.91,088xx,NJ,< 1 year,1
2500,2016-07-01,other,545,10.23,922xx,CA,< 1 year,2
2000,2016-07-01,home_improvement,546,2.58,422xx,KY,< 1 year,3
25000,2016-07-01,credit_card,547,27.57,900xx,CA,< 1 year,4
5000,2016-07-01,debt_consolidation,548,2.43,953xx,CA,5 years,1
5000,2016-07-01,debt_consolidation,549,22.1,782xx,TX,< 1 year,2
3000,2016-07-01,other,550,22.95,280xx,NC,5 years,3
20000,2016-07-01,home_improvement,551,-1,940xx,CA,< 1 year,4
7000,2016-07-01,debt_consolidation,552,0.46,011xx,MA,< 1 year,1
4000,2016-07-01,car,553,0.02,985xx,WA,< 1 year,2
40000,2016-07-01,credit_card,554,-1,912xx,CA,< 1 year,3
5000,2016-07-01,credit_card,555,4.56,917xx,CA,< 1 year,4
3000,2016-07-01,other,556,20.12,920xx,CA,< 1 year,1
25000,2016-07-01,debt_consolidation,557,27.1,918xx,CA,< 1 year,2
2000,2016-07-01,debt_consolidation,558,28.27,704xx,LA,< 1 year,3
5000,2016-07-01,other,559,-1,331xx,FL,5 years,4
5000,2016-07-01,debt_consolidation,560,46.95,900xx,CA,< 1 year,1
40000,2016-07-01,credit_card,561,197.14,705xx,LA,< 1 year,2
7000,2016-07-01,debt_consolidation,562,24,954xx,CA,< 1 year,3
6000,2016-07-01,debt_consolidation,563,6.87,986xx,WA,< 1 year,4
40000,2016-07-01,credit_card,564,1177.47,705xx,LA,< 1 year,1
15000,2016-07-01,debt_consolidation,565,65.3,460xx,IN,< 1 year,2
18000,2016-07-01,debt_consolidation,566,30.82,544xx,WI,< 1 year,3
15000,2016-07-01,major_purchase,567,-1,894xx,NV,< 1 year,4
3000,2016-07-01,debt_consolidation,568,3.51,913xx,CA,5 years,1
16575,2016-07-01,credit_card,569,43.33,958xx,CA,5 years,2
40000,2016-07-01,credit_card,570,573.49,395xx,MS,< 1 year,3
40000,2016-07-01,debt_consolidation,571,47.38,910xx,CA,< 1 year,4
6000,2016-07-01,medical,572,2.4,840xx,UT,n/a,1
6000,2016-07-01,home_improvement,573,16.96,930xx,CA,< 1 year,2
15000,2016-07-01,debt_consolidation,574,22.06,918xx,CA,< 1 year,3
1500,2016-07-01,other,575,16.59,086xx,NJ,< 1 year,4
3000,2016-07-01,other,576,2,550xx,MN,< 1 year,1
